1. Roberto Bartol, BK Metropolis
2. Ante Šola, BK Desetka
3. Marko Lišnić, BK Plan B
4. Filip Bermanec, BSK Mosconi
5. Edin Redžić, BK 8 Ball Sesvete
6. Goran Gluščić, BK Metropolis
7. Vladimir Škvorc, BK Zlatar
8. Jordan Sobin, BK Zeus
9. Borna Vukojević, BK Plan B
10. Ivan Lišnić, BK Plan B
11. Željko Dozan, BK Metropolis
12. Krešo Ivan Kralj, BSK Mosconi
13. Saša Đukić, BK Plan B
14. Ivan Prusac, BK Metropolis
15. Tin Petljak, BK Metropolis
16. Marin Cokarić, BK Olimp
17. Vedran Vunjak, BK Plan B
18. Michel Bartol, BK Metropolis
19. Tomislav Rahle, BK Shooters
20. Božo Propadalo, BK Olimp
21. Dario Škorput, BK Metropolis
22. Ivo Milin, BK Zeus
23. Luka Kutleša, BK Plan B
24. Ante Šustić, BK Hustler Academy
