1. Ivan Vicković, BK Plan B
2. Filip Kotromanović, BK Plan B
3. Zoran Dmitrović, BK Plan B
Darko Vidović, BK Cibalia
5. Gordan Farkaš, BK Plan B
Dragan Đuraković, BK Cibalia
Sven Markušev, BK Plan B
Nenad Havelka, BK Plan B
9. Krešimir Markanović, BK Cibalia
Ivan Grubišić, BK Plan B
Zvonko Pešo, BK Plan B
Ivan Bekavac, BK Cibalia
Igor Troskot, BK Plan B
Sebastian Križanić, BK Plan B
Novica Marjanović, BK Plan B
Matej Opačak, BK Plan B
17. Dinko Šokčević, BK Plan B
Juraj Vojvodić, BK Plan B
Ivan Tolić, BK Plan B
Mario Uštar, BK Plan B
Dejan Činčurak, BK Plan B
Matej Matković, BK Plan B
Dino Grubišić, BK Plan B
24. Vedran Vojvodić, BK Plan B
Dalibor Pipunić, BK Plan B
26. Marijan Vuković, BK Cibalia
27. Tomislav Cvitanušić, BK Plan B
28. Krešimir Kruljac, BK Cibalia
