1. Berislav Šilić, BK Beretka
2. Mile Afić, BK Zeus
3. Špiro Cokarić, BK Pink Panther
4. Igor Škorić, BK Olimp
5. Mladen Kelava, BK Desetka
6. Goran Bazina, BK Merit
7. Davor Marjanović, BK Merit
8. Dragan Mrvalj, BK Merit
9. Vedran Gracin, BK Merit
10. Mario Sopta, BK Pink Panther
11. Zdenko Puljić, BK Drniš
12. Nikola Odak, BK Drniš
13. Hrvoje Hrgović, BK Zeus
14. Mario Dražić, BK Šibenik
15. Vedran Divković, BK Zeus
16. Goran Nizić, BK Desetka
17. Tomislav Ljulj, BK Zeus
Petar Škomrlj, BK Desetka
Frane Petričević, BK Desetka
Ivan Buljan, BK Merit
Duje Glavinić, BK Beretka
Marin Bilić, BK Zeus
Vinko Roje, BK Pink Panther
David Bašić, BK Zeus
25. Marko Jurić, BK Desetka
Mladen Zečić, BK Olimp
Damir Roje, BK Desetka
Vinko Smolić, BK Merit
Marin Ivančić, BK Beretka
Tomislava Palinić, BK Desetka
Ena Šurija, BK Desetka
Boris Pranjić, BK Merit
33. Ivan Radun, BK Zeus
Ferdinand Arambašić, BK Zeus
