1. Nino Porić, BK 8 Ball Sesvete
2. Edin Fetahović, BSK Mosconi
3. Ivan Galić, BK 8 Ball Sesvete
4. Josip Kompanović, BK Hustler Academy
5. Josip Berišić, BK 8 Ball Sesvete
6. Ivica Medunić, BSK Mosconi
7. Tomislav Pilj, BK Metropolis
8. Luka Galić, BK 8 Ball Sesvete
9. Zdenko Bokšić, BK 8 Ball Sesvete
10. Zoran Husul, BK Metropolis
11. Robert Burić, BK Zlatar
12. Ronald Mijatović, BK 8 Ball Sesvete
13. Juraj Jurković, BK Zlatar
14. Roman Božičević, BK 8 Ball Sesvete
15. Jure Šiško, BSK Mosconi
16. Saša Kušter, BK Zlatar
17. Tomislav Juriša, BK Zlatar
18. Ivan Peras, BK 8 Ball Sesvete
19. Denis Budak, BK Metropolis
20. Domagoj Tikvić, BK 8 Ball Sesvete
21. Marko Perić, BK 8 Ball Sesvete
22. Andrej Radovanović, BK 8 Ball Sesvete
23. Krešo Ceraj, BK Metropolis
24. Goran Kunović, BK Extreme
25. Kristijan Kipson, BK 8 Ball Sesvete
26. Ervin Radovanović, BK 8 Ball Sesvete
27. Maro Marčinko, BK 8 Ball Sesvete
28. Florijan Marić, BSK Mosconi
29. Mario Demikeli, BK Zlatar
30. Karlo Salkić, BK 8 Ball Sesvete
31. Tin Dalipi, BK Shooters
32. Mateo Majstorović, BSK Mosconi
33. Mladen Sever, BK 8 Ball Sesvete
34. Igor Jurišić, BK 8 Ball Sesvete
35. Tihomir Smolko, BK 8 Ball Sesvete
36. Ivan Samaržija, BK Zlatar
37. Davorin Meštrić, BK Metropolis
38. Goran Đorđević, BK Shooters
39. Stipan Dolić, BK Nugget
40. Mario Petrović, BK Zlatar
